# Go! Sight Words 220 陪伴表 · Dolch 220（公开高频词）
# 启思《玩转英语常见词220》按 Dolch 分 5 级；官方不提供可下载专有排序。
# 本表按 Dolch 年级带分 Unit 1–5，方便刷分级读物前的 sight words。
# 不是《新魔法英语分级读物》逐册词表。
# Format: English word	Unit N

# Unit 1 · Dolch Pre-primer (40)
a	Unit 1
and	Unit 1
away	Unit 1
big	Unit 1
blue	Unit 1
can	Unit 1
come	Unit 1
down	Unit 1
find	Unit 1
for	Unit 1
funny	Unit 1
go	Unit 1
help	Unit 1
here	Unit 1
I	Unit 1
in	Unit 1
is	Unit 1
it	Unit 1
jump	Unit 1
little	Unit 1
look	Unit 1
make	Unit 1
me	Unit 1
my	Unit 1
not	Unit 1
one	Unit 1
play	Unit 1
red	Unit 1
run	Unit 1
said	Unit 1
see	Unit 1
the	Unit 1
three	Unit 1
to	Unit 1
two	Unit 1
up	Unit 1
we	Unit 1
where	Unit 1
yellow	Unit 1
you	Unit 1

# Unit 2 · Dolch Primer (52)
all	Unit 2
am	Unit 2
are	Unit 2
at	Unit 2
ate	Unit 2
be	Unit 2
black	Unit 2
brown	Unit 2
but	Unit 2
came	Unit 2
did	Unit 2
do	Unit 2
eat	Unit 2
four	Unit 2
get	Unit 2
good	Unit 2
have	Unit 2
he	Unit 2
into	Unit 2
like	Unit 2
must	Unit 2
new	Unit 2
no	Unit 2
now	Unit 2
on	Unit 2
our	Unit 2
out	Unit 2
please	Unit 2
pretty	Unit 2
ran	Unit 2
ride	Unit 2
saw	Unit 2
say	Unit 2
she	Unit 2
so	Unit 2
soon	Unit 2
that	Unit 2
there	Unit 2
they	Unit 2
this	Unit 2
too	Unit 2
under	Unit 2
want	Unit 2
was	Unit 2
well	Unit 2
went	Unit 2
what	Unit 2
white	Unit 2
who	Unit 2
will	Unit 2
with	Unit 2
yes	Unit 2

# Unit 3 · Dolch 1st Grade (41)
after	Unit 3
again	Unit 3
an	Unit 3
any	Unit 3
as	Unit 3
ask	Unit 3
by	Unit 3
could	Unit 3
every	Unit 3
fly	Unit 3
from	Unit 3
give	Unit 3
giving	Unit 3
had	Unit 3
has	Unit 3
her	Unit 3
him	Unit 3
his	Unit 3
how	Unit 3
just	Unit 3
know	Unit 3
let	Unit 3
live	Unit 3
may	Unit 3
of	Unit 3
old	Unit 3
once	Unit 3
open	Unit 3
over	Unit 3
put	Unit 3
round	Unit 3
some	Unit 3
stop	Unit 3
take	Unit 3
thank	Unit 3
them	Unit 3
then	Unit 3
think	Unit 3
walk	Unit 3
were	Unit 3
when	Unit 3

# Unit 4 · Dolch 2nd Grade (46)
always	Unit 4
around	Unit 4
because	Unit 4
been	Unit 4
before	Unit 4
best	Unit 4
both	Unit 4
buy	Unit 4
call	Unit 4
cold	Unit 4
does	Unit 4
don't	Unit 4
fast	Unit 4
first	Unit 4
five	Unit 4
found	Unit 4
gave	Unit 4
goes	Unit 4
green	Unit 4
its	Unit 4
made	Unit 4
many	Unit 4
off	Unit 4
or	Unit 4
pull	Unit 4
read	Unit 4
right	Unit 4
sing	Unit 4
sit	Unit 4
sleep	Unit 4
tell	Unit 4
their	Unit 4
these	Unit 4
those	Unit 4
upon	Unit 4
us	Unit 4
use	Unit 4
very	Unit 4
wash	Unit 4
which	Unit 4
why	Unit 4
wish	Unit 4
work	Unit 4
would	Unit 4
write	Unit 4
your	Unit 4

# Unit 5 · Dolch 3rd Grade (41)
about	Unit 5
better	Unit 5
bring	Unit 5
carry	Unit 5
clean	Unit 5
cut	Unit 5
done	Unit 5
draw	Unit 5
drink	Unit 5
eight	Unit 5
fall	Unit 5
far	Unit 5
full	Unit 5
got	Unit 5
grow	Unit 5
hold	Unit 5
hot	Unit 5
hurt	Unit 5
if	Unit 5
keep	Unit 5
kind	Unit 5
laugh	Unit 5
light	Unit 5
long	Unit 5
much	Unit 5
myself	Unit 5
never	Unit 5
nine	Unit 5
only	Unit 5
own	Unit 5
pick	Unit 5
seven	Unit 5
shall	Unit 5
show	Unit 5
six	Unit 5
small	Unit 5
start	Unit 5
ten	Unit 5
today	Unit 5
together	Unit 5
try	Unit 5
warm	Unit 5
